#HeroicDeath Data Log - This file stores serialized data on player deaths in the following order:
#Victim|Killer|Murder Weapon|Cause of Death|Location|Timestamp|Death Message
#Murder weapon is in the format TypeIDxData, so Red Wool would be 35x14
#Location is in the format (x, y, z), and represents where the victim died.
Player2|||PLUGIN_EXPLOSION|world (-58.0,65.0,0.0)|03/01/2026 14:11:33 UTC|Player2 died from unknown causes
patschgo|||TNT_EXPLOSION|world (-79.0,64.0,-10.0)|03/01/2026 16:28:42 UTC|patschgo died from unknown causes
patschgo|||TNT_EXPLOSION|world (-81.0,64.0,-5.0)|03/01/2026 16:33:11 UTC|patschgo was killed by Herobrine
patschgo|Zombie||ENTITY_ATTACK|world (-79.0,64.0,-6.0)|03/03/2026 17:04:54 UTC|patschgo was killed by an angry Zombie
Sebastian_Ty|Warlock|0x-1|ENTITY_ATTACK|world (82.0,65.0,212.0)|04/08/2026 17:16:59 UTC|Warlock killed Sebastian_Ty wielding fists
Sebastian_Ty|FarmerJim|0x-1|ENTITY_ATTACK|world (-60.0,65.0,415.0)|04/08/2026 17:35:48 UTC|FarmerJim killed Sebastian_Ty wielding fists
patschgo|Zombie||ENTITY_ATTACK|world (-49.0,47.0,1006.0)|04/08/2026 18:32:32 UTC|patschgo was killed by an angry Zombie
patschgo|Zombie||ENTITY_ATTACK|world (-49.0,47.0,1006.0)|04/08/2026 18:32:32 UTC|patschgo was killed by an angry Zombie
patschgo|ItzDavid|0x-1|ENTITY_ATTACK|world (-364.0,69.0,987.0)|04/08/2026 18:44:12 UTC|ItzDavid killed patschgo wielding fists
patschgo|ItzDavid|0x-1|ENTITY_ATTACK|world (-364.0,69.0,987.0)|04/08/2026 18:44:12 UTC|ItzDavid killed patschgo wielding fists
patschgo|Zombie||ENTITY_ATTACK|world (-360.0,68.0,986.0)|04/08/2026 18:44:33 UTC|patschgo was killed by an angry Zombie
patschgo|Zombie||ENTITY_ATTACK|world (-360.0,68.0,986.0)|04/08/2026 18:44:33 UTC|patschgo was killed by an angry Zombie
Player421|Knight|0x-1|ENTITY_ATTACK|world (89.0,65.0,154.0)|04/08/2026 18:50:07 UTC|Knight killed Player421 wielding fists
Player421|Knight|0x-1|ENTITY_ATTACK|world (89.0,65.0,154.0)|04/08/2026 18:50:07 UTC|Knight killed Player421 wielding fists
